cell_id,lat,lon,nearest_dist_km,is_estimated,Ward_No,Ward_Name,distance_to_ward
333,28.502564,77.0,6.373,1,133,CHHAWLA,1706.378465598886
334,28.502564,77.015385,5.928,1,133,CHHAWLA,1624.6517851206593
335,28.502564,77.030769,5.847,1,141,BIJWASAN,2467.213386805731
336,28.502564,77.046154,6.145,1,141,BIJWASAN,1710.9710897709544
337,28.502564,77.061538,6.772,1,141,BIJWASAN,1219.833789891872
338,28.502564,77.076923,6.202,1,141,BIJWASAN,1612.6438006460714
339,28.502564,77.092308,4.965,1,172,KISHANGARH,651.734622961393
340,28.502564,77.107692,3.92,1,172,KISHANGARH,0.0
341,28.502564,77.123077,3.256,1,172,KISHANGARH,0.0
342,28.502564,77.138462,2.875,1,172,KISHANGARH,0.0
343,28.502564,77.153846,2.709,1,172,KISHANGARH,0.0
344,28.502564,77.169231,3.275,1,174,CHHATARPUR,0.0
345,28.502564,77.184615,1.898,1,174,CHHATARPUR,0.0
346,28.502564,77.2,1.001,1,173,DEOLI,0.0
347,28.502564,77.215385,1.709,1,173,DEOLI,0.0
348,28.502564,77.230769,3.06,1,179,TIGRI,0.0
349,28.502564,77.246154,1.879,1,186,SANGAM VIHAR WEST,0.0
350,28.502564,77.261538,0.549,0,188,SANGAM VIHAR EAST,0.0
351,28.502564,77.276923,1.261,1,198,PUL PEHLAD,0.0
352,28.502564,77.292308,2.721,1,197,TUGHLAKABAD,0.0
353,28.502564,77.307692,4.211,1,203,BADAR PUR,0.0
354,28.502564,77.323077,4.692,1,202,MEETHEYPUR,0.0
355,28.502564,77.338462,4.925,1,201,JAITPUR,302.6638200029745
356,28.502564,77.353846,5.57,1,201,JAITPUR,1603.640934981298
357,28.502564,77.369231,6.504,1,201,JAITPUR,2972.806890661975
358,28.502564,77.384615,7.468,1,201,JAITPUR,4564.856595588431
359,28.502564,77.4,7.437,1,207,MADANPUR KHADAR,6195.584697893336
360,28.515385,76.8,13.807,1,140,KHERA,6702.034061880952
361,28.515385,76.815385,12.68,1,140,KHERA,5529.031519642083
362,28.515385,76.830769,11.638,1,140,KHERA,4662.217487654459
363,28.515385,76.846154,10.505,1,140,KHERA,3506.125591405842
364,28.515385,76.861538,9.321,1,133,CHHAWLA,2111.426985752206
365,28.515385,76.876923,8.243,1,133,CHHAWLA,804.6923866124206
366,28.515385,76.892308,7.315,1,133,CHHAWLA,0.0
367,28.515385,76.907692,6.603,1,133,CHHAWLA,0.0
368,28.515385,76.923077,6.181,1,133,CHHAWLA,0.0
369,28.515385,76.938462,6.109,1,133,CHHAWLA,0.0
370,28.515385,76.953846,6.4,1,133,CHHAWLA,0.0
371,28.515385,76.969231,7.008,1,133,CHHAWLA,0.0
372,28.515385,76.984615,7.861,1,133,CHHAWLA,106.10118614918068
373,28.515385,77.0,7.699,1,133,CHHAWLA,303.09864623965905
374,28.515385,77.015385,7.335,1,133,CHHAWLA,370.74686135536695
375,28.515385,77.030769,7.27,1,133,CHHAWLA,1692.513978188172
376,28.515385,77.046154,6.679,1,141,BIJWASAN,151.97839562792265
377,28.515385,77.061538,5.888,1,141,BIJWASAN,0.0
378,28.515385,77.076923,5.234,1,143,KAPASHERA,396.7896143606461
379,28.515385,77.092308,4.964,1,143,KAPASHERA,0.0
380,28.515385,77.107692,4.252,1,172,KISHANGARH,0.0
381,28.515385,77.123077,2.849,1,172,KISHANGARH,0.0
382,28.515385,77.138462,1.636,1,172,KISHANGARH,0.0
383,28.515385,77.153846,1.324,1,172,KISHANGARH,0.0
384,28.515385,77.169231,2.312,1,169,LADOSARAI,0.0
385,28.515385,77.184615,1.856,1,170,MEHRAULI,0.0
386,28.515385,77.2,2.019,1,173,DEOLI,0.0
387,28.515385,77.215385,2.791,1,181,KHANPUR,0.0
388,28.515385,77.230769,3.772,1,181,KHANPUR,0.0
389,28.515385,77.246154,2.613,1,185,TUGHLAKABAD EXTN,0.0
390,28.515385,77.261538,1.897,1,197,TUGHLAKABAD,0.0
391,28.515385,77.276923,1.8,1,197,TUGHLAKABAD,0.0
392,28.515385,77.292308,2.676,1,199,TEKHAND,0.0
